Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Contact Number of Internship Supervisor,Work Email of Internship Supervisor,Workplace Address,What is the project's research category?,Area of Discipline(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continual Learning via Transformer Models,"Modern AI models need lots of data and computational resources. In contrast, humans could quickly learn new concepts and ideas continuously based on existing knowledge and experiences. The goal of the project is to design AI models with learning abilities similar to humans.
Specifically, the project studies the problem of continual learning, where the AI model must learn from a stream of examples and classify them. One particular application investigated in this project is tactile classification of materials in robotics, where a robot quickly learns to identify new materials by touch.","1.How to use and modify state-of-the-art AI models, in particular transformer models.
2. How to design and implement AI experiments.
3. How to analyse experiment results and iteratively improve model design.","The student will actively participate in the project as a research associate. The student is expected to:
1.	implement AI models and evaluate their performances, based on discussion and guidance from the supervisor.
2.	Design and implement the data pipeline for tactile data.
3.	Documenting the results and experiment findings (potential publication possible).","Strong programming skills.
Experiences in using machine learning libraries (e.g. Pytorch, TensorFlow).
Background in machine learning/computer vision projects.","1. Design new AI models.
2. Design and implement experiments for continual learning.
3. Results analysis and evaluation.",I2R,Robotics and Autonomous Systems,Wu Yan,+6581824026,wuy@i2r.a-star.edu.sg,"1 Fusionopolis Way, Level 9 Connexis North Tower, Singapore 138632",Computing & Information Sciences,"Algorithms and Theory, Artificial Intelligence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deception detection using speech SSL model and LLM,"Recently, deception detection is of significance interest amount researchers working in speech, natural language processing, and vision. Automatic deception detection has critical applications in low enforcement, border security, military, intelligence agencies, as well as finical organizations and politics. Since the data for deceptive speech very scare, this project will explore potential of self-supervised learning () speech models and large language models (LLM) for the efficient training. Developing such efficient techniques for fine tuning/zero-shot approach is a goal of this project.","1. Working with speech SSL for speech classification task
2. Using large language model (LLM) for text-based deception detection
3. Combining joint representation  of SSL and LLM for multimodal system","1. Developing SSL and LLM-based classifier for public-domain deception data
2. Techniques for utilizing LLM for deception detection","Python, pytorch or tensorflow",Student can use pytorch to develop SSL and LLM classifier model. Testing will be conducted on public data.,I2R,ALI,Hardik Bhupendra Sailor,6586490240,sailor_hardik_bhupendra@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning based Brain Age calculation,"Brain aging study is a longitudinal process due to considerable morphological changes. Brain aging is a dynamic process & early detection of accelerated changes helps in the restoration of brain health. ML approaches have been proposed to analyze it. The project aims at a functional bidirectional relationship between a brain’s morphology and age prediction. We propose to model this relationship with the conditional normalizing flow model, which unifies brain age prediction and age modeling. The model will be tested on SG-population normative data using age-specific brain morphology templates.","•	Deep Learning models and their implementation 
•	Neuroimaging data processing 
•	Statistical Analysis and Programming","•	Development & Implementation of Normalizing flow Algorithm
•	Testing and validation of the model
•	Report/Document generation","•	Python Programming – Tensorflow, Keras 
•	Mathematics and Statistical Analysis 
•	Linux 
•	Image processing","•	Development & Implementation of Normalizing flow Algorithm
•	Testing and validation of the model
•	Report/Document generation",BII,Imaging Informatics Division,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"07=01, MATRIX, 30 Biopolis Street, Singapore - 138671",Computing & Information Sciences,Bioinformatics;Computer Science;Information Technology;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning for Image Anomaly Detection without Label,"This project will focus on how to develop a self-supervised deep learning scheme based on adversarial learning for image anomaly detection without any labeling. The proposed scheme should be directly trained over a mixture of normal and abnormal image data, while still able to distinguish and automatically label the anomaly without supervision. The project will also explore the transfer learning to enhance the generalisation capability and representation learning of the proposed scheme, to handle the feature diversity cross various benchmarks.","1) Brief report of literature review with at least 2000 words. 
2) Self-supervised learning result comparable with SOTA. 
3) Technical report write-up, with targeting at publication (optional)","1) self-motivated, interested in AI 
2) regular discussion and meeting with supervisor
3) tend to advanced research work","1) basic knowledge of deep learning 
2) basic coding skill of python
3) basic knowledge of anomaly detection","The student will be involved in one or more of the followings:
1) Conduct literature review of image anomaly detection 
2) Learn to design self-supervised model for anomaly detection 
3) Performance model training and performance verification",I2R,Machine Intellection,Yang Xulei,+6597330869,yang_xulei@i2r.a-star.edu.sg,"1 Fusionopolis Way, Level-13, Connexis (South Tower), Singapore 138632",Engineering & Technology,"Aerospace Engineering, Computer Engineering, Electrical & Electronic Engineering, Algorithms and Theory, Artificial Intelligence, Computer Graphics and Games, Multimedia Information Retrieval, Programming Languages, Software Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning for Intelligent Robotics,"This internship project is to develop and research on deep learning for intelligent robotics, which includes vision perception, policy decision, and action for achieving specific tasks towards human capability. Artificial intelligence and deep learning plays an important role to replace the traditional human-designed feature engineering and embody the agent with self-learning ability to adapt with new environment. The students will evolve in our project to assist in the research phase (DL algorithms for vision, reinforcement learning, etc) and experimental phase of the project.","This internship project is to develop and research on deep learning for intelligent robotics, which includes vision perception, policy decision, and action for achieving specific tasks towards human capability. Artificial intelligence and deep learning plays an important role to replace the traditional human-designed feature engineering and embody the agent with self-learning ability to adapt with new environment. The students will evolve in our project to assist in the research phase (DL algorithms for vision, reinforcement learning, etc) and experimental phase of the project.","This project is also suitable for students who want to gain research experience on deep learning and robotics, students will have the chance to publish papers in top conferences in AI and robotics.",The student is supposed to have basic knowledge in C++ or Python programming. Familiar with deep learning framework such Pytorch/Tensorflow will be preferred.,"1, Develop and implement deep learning algorithms for computer vision and reinforcement learning, etc.
2, Test and implement the algorithms in edge device for robot.",SIMTech,Adaptive Robotics and Mechatronics,Zhu Haiyue,+6593458612,zhu_haiyue@simtech.a-star.edu.sg,138635,Computing & Information Sciences,"Algorithms and Theory, Artificial Intelligence, Computer Graphics and Games, Computer Security, Computer Engineering, Electrical Engineering, Engineering Science, Industrial & Systems Engineering, Mechanical Engineering, Aerospace Engineering, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep learning for spatial-temporal data,"In real world, there are many types of spatial-temporal data like vehicles’ trajectory and people's mobility data etc., which have great value in creating insights in respective domains.
This research will leverage on knowledge engineering and deep learning approaches for mining the patterns and support situation awareness such as predicting vehicle’s trajectory and population density. 
The knowledge patterns and predictions are able to provide decision support to businesses and government agencies to optimise their services, augmenting the safety, efficiency and reducing the cost.","1. Understand the spatial-temporal data mining technologies
2. Deep learning method for spatial-temporal data modeling
3. AI model based decision support","1. Pattern mining using real world spatial-temporal data
2. Establish deep learning model for spatial-temporal prediction","1. Knowledge on programming using popular language for deep learning like python
2. Knowledge on data science and statistics","1. Clustering and other unsupervised method for pattern ming from spatial-temporal data
2. Establishing deep learning model for spatial-temporal prediction application like object's trajectory prediction",IHPC,Systems Science,Xiao Zhe,6596480645,xiaoz@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Machine Learning for Protein Data Analysis,"A large number of protein datasets have been developed and explored to discover the potential properties (biomarkers), which lead to more understanding of life and breakthrough therapies to save lives. The studies of functional aspects of proteins has been challenging. This project aims at deploy AI techniques for protein data analysis, specifically, develop advanced machine learning and deep learning for protein function prediction and protein-protein interaction prediction. More advanced technology, e.g., graph neural networks, may also be employed for better protein feature representation.","Corresponding to the work scopes above:
Outcome-1: Technique report summarizing the key techniques from the literature review (refer to scope-1)
Outcome-2: Experimental reports and demos from the results reproducing (refer to scope-2)
Outcome-3: The description of the potential technical problem and algorithm improvement, as well as the improved experimental
results if applicable (refer to scope-3)
Outcome-4: Final technical report and presentation slides (refer to scope-4)","1) Self-motivated to finish the assignment in time
2) Team work with other members in the team
3) Bi-weekly meeting to update the progress
4) Strictly follow the rule and policy of A*STAR","Keen to do biological data analysis and advanced research works,
Familiar with machine learning, deep learning, and bioinformatics, 
A bit programming skill in Python,
Self-motivated and willing to learn attitude.","Scope-1: Preliminary Study
Learn the basis of protein function prediction, and study the SOTA methods, such as DeepGoPlus, SDN2GO, and DeepFIR, etc. 
Scope-2: Reproduce Results 
Re-produce the results presented in the studied SOTA methods in scope-1. 
Scope-3: Algorithm Improvement
Explore potential enhancement to existing methods, like hybrid of machine learning and deep learning, and try to improve the results as compared to the baseline results in scope-2.
Scope-4: Final Report & Presentation
Technical report and oral presentation to summarize the internship. We may extend the technical report to a journal or conference paper assume the improvement is significant.",I2R,Machine Intellection,Yang Xulei,+6597330869,yang_xulei@i2r.a-star.edu.sg,"1 Fusionopolis Way, South Tower, Connexis, Singapore 138632",Computing & Information Sciences,"Computational Biology, Data Science & Analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development of new algorithms in genomics using AI,"The idea of the project is the development of new algorithms related to genomics using AI instead of classical algorithms. Types of problems include sequence alignment, graph traversal, minimum spanning tree","1. Work with Pythorch
2. intermediate level of practical and theoretical AI
3. Experience working in a research environment","1. Understanding problems related to genomics
2. Developing new AI methods 
3. Testing and reporting","1. Computer science or math student
2. Knowledge of Python
3. Basic knowledge of machine learning
4. Basic knowledge of algorithms and data structures","The student will actively participate in every stage of the research process, starting from formulating hypotheses to the development and rigorous testing of potential solutions. This involvement will provide the student with comprehensive experience in research methodology. Moreover, the student will have the opportunity to work closely alongside the supervisor, benefiting from their guidance and expertise.",GIS,Ai in Genomics,Mile Sikic,6582434173,mile_sikic@gis.a-star.edu.sg,"60 Biopolis Street, #02-01 Genome, Singapore 138672",Computing & Information Sciences,Applied Mathematics;Bioinformatics;Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development of Normative Aging SG Phenotype Brain Atlas,"Brain aging might be different from chronological aging. Brain volumetric (BVM) studies derived from population-based cohorts may serve as normative data but current literature is often biased towards the Caucasian population whereas studies have shown differences in the brain volume and structures between the Asian and Caucasian population. Given the paucity of local data on BVM, there is an urgent need to acquire a BVM database in Singapore
1.To develop a normative atlas for different age groups in the local population 
2. Integration of fully automated BVM ML algorithms","1. AI skills 
2. Healthcare Informatics, data processing 
3. Enhanced software skills","The student will develop, implement, test, and validate the algorithm. 
Prepares the documentation and maintains version control of the algorithm. 
 Adheres to the guidelines, rules, and regulations of A*STAR and BII","1. Programming Skills -- Python, Tensorflow, R, Linux, shell programming 
2. Knowledge of ML and DL algorithms 
3. Biomedical Imaging Knowledge
4. Statistics, Pattern recognition","1. To develop a normative atlas for different age groups in the local population refers to the “SG Phenotype Brain template” which can help to differentiate normal from accelerated brain aging. Besides, it serves as neuroimaging biomarkers for the brain ageing. 
b.	Integration of a fully automated BVM algorithms to facilitate the diagnosis of diseases relative to the age-related changes. 
c.	To develop a machine-based learning algorithm using the normative brain atlas template for the local population.",BII,CELLULAR IMAGE INFORMATICS DIVISION,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"#07-01 Matrix, 30 Biopolis Street, Singapore 138671",Engineering & Technology,"Bioengineering, Computer Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital platform for assessment of risk of dementia,The student will be involved in a proof-of-concept study on the use of a digital platform for the assessment of risk of early-stage memory loss (mild cognitive impairment). We will be collecting functional near-infrared spectroscopy (fNIRS) data while subjects are performing a mental task. Students will be required to help with data collection and analysis.,"1. Literature review
2. Experimental design, hypothesis generation
3. Data collection 
4. Data analysis",To support the team in collection and analysis of fNIRS data from subjects during a mental task.,Coding skills for data analysis (Matlab/Python) preferred.,"Student will be supporting the data collection efforts, as well as analysis of data collected from experiments.",I2R,Healthcare and Medtech Division,Rosa So,+6591994280,rosa-so@i2r.a-star.edu.sg,1 Fusionopolis Way Level 10 North Tower (S)138632,Engineering & Technology,Biomedical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL based Clinical Fat Analysis tool,"Development of DL based client server model for real-time human fat analysis clinical tool. the work involves development of deep learning models for fat quantification, testing & validation of the model & development of web based correction tool.","'- Deeplearning and machine learning architecture knowledge.
- Cloud deployment skills
- testing & validation of developed DL model.","'- Development and implementation of DL architecture.
- Building client server model.
- Cloud application development
- correction tool development.","python knowledge, image processing, basic of machine learning & problem solving ability","'- Development and implementation of DL architecture.
- Building client server model.
- Cloud application development
- correction tool development.",BII,Image informatic divison,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"30 Biopolis St, Matrix, Singapore 138671",Computing & Information Sciences,Applied Mathematics;Bioinformatics;Computer Science;Computer & Software Engineering;Information Technology;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficient Deep Learning via Brain Inspired Algorithms,"In this project, we are working on finding alternative methods to train Neural Networks instead of using Gradient Descent. Main research topics:
1.	Investigate differences in BackPropagation based learning and brain-inspired learning and understand which technique is superior.
2.	Develop new methods, suggest changes to existing algorithms and push the state-of-the-art for brain-inspired learning techniques.
3.	Publish high quality publications in top deep learning conferences and journals including Neurips, ICML, ICLR and Neuro-computing.","1.	A clear understanding of biologically plausible learning algorithms
2.	Comfort with running rigorous experiments in AI GPU frameworks like PyTorch
3.	Gain skills to publish high-quality papers in mainstream AI conferences with the supervision of A*STAR researchers
4.	Understand the overall research journey from ideating to publishing
5.	Know how to conduct excellent research independently","1.	Read research papers and get up-to-date with Biologically Plausible learning algorithms
2.	Suggest improvements to further enhance efficacy of biological algorithms with the goal to create new state-of-the-art algorithms 
3.	Conduct in-depth experiments in PyTorch on vision architectures to verify the efficacy of the suggested algorithm
4.	Gain experience in writing high-quality scientific papers and submit to top-tier AI conferences like NeurIPS, ICLR and ICML, Neurocomputing","1. Understand basic Deep Learning theory e.g. how loss and gradients are calculated and weights updated 
2. Must have coded and trained neural networks in Python
3. Familiarity with PyTorch a plus","1.	Read research papers and get up-to-date with Biologically Plausible learning algorithms
2.	Suggest improvements to further enhance efficacy of biological algorithms with the goal to create new state-of-the-art algorithms 
3.	Conduct in-depth experiments in PyTorch on vision architectures to verify the efficacy of the suggested algorithm
4.	Gain experience in writing high-quality scientific papers and submit to top-tier AI conferences like NeurIPS, ICLR and ICML, Neurocomputing",I2R,MI,Manas Gupta,+6598482123,manas_gupta@i2r.a-star.edu.sg,"1 Fusionopolis Way, Singapore 138632",Computing & Information Sciences,"Biomedical Engineering, Computer Engineering, Electrical Engineering, Engineering Science, Biological Sciences, Mathematical Sciences, Physics & Applied Physics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficient deep video models for deepfake detection,"Deepfake uses deep learning technology to manipulate images and videos of a person that humans cannot differentiate them from the real one. In recent years, many studies have been conducted to understand how deepfake works. Among them deep video models based on deep learning technology have been dominating deepfake detection on videos. In this project, we aim at developing novel deep video model to perform efficient deepfake detection. The effectiveness of the developed deep video model will be verified on public deepfake benchmarks as compared to SOTA methods.","Corresponding to the work scopes / description:

Outcome-1: Technique report summarizing the related deepfake detection techniques from simple survey (refer to scope-1)

Outcome-2: Experimental reports and demos for the results reproducing (refer to scope-2)

Outcome-3: A short report for the description of the potential technical problem and algorithm improvement, as well as the improved experimental results if applicable (refer to scope-3)

Outcome-4: Final technical report and presentation slides (refer to scope-4)","1) Self-motivated to perform research work following the schedule
2) Teamwork with other members in the team
3) Bi-weekly meeting to update the progress
4) Strictly follow the rule and policy of A*STAR","Keen to advanced research on deepfake generation and detection
Familiar with deep learning and computer vision,
A bit programming skill in Python,
Self-motivated and willing to learn attitude.","Scope-1: Simple Survey
Literature review of the related deepfake detection techniques, and select
1-2 papers or methods.

Scope-2: Reproduce Results in Papers
Re-produce the results presented in the selected academic papers by using the benchmark dataset.

Scope-3: Algorithm Improvement
Explore potential enhancement to existing methods, then explore potential approaches to improve the results over baseline results.

Scope-4: Final Report & Presentation.
Technical report and oral presentation to summarize the internship",I2R,Machine Intellection,Yang Xulei,+6597330869,yang_xulei@i2r.a-star.edu.sg,"1 Fusionopolis Way, South Tower, Connexis, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering new instrument for 3D spatial omics,This is an interdisciplinary project where the goal is to perform 3D spatial transcriptomics on whole organs or thick biological tissues. The goal is to image many RNA molecules from hundreds of genes located inside single cells in the biological samples. The resulting 3D microscopy image data will allow us to better understand the gene expression of hundreds of genes in each individual cell within its native and intact tissue context.,"Student will learn diverse skills ranging from cell culture, biochemistry, optical fluorescence microscopy, genomics analysis, to micro-fluidics and engineering techniques.",Student is expected to learn from and assist a research fellow in conducting experiments. Student is expected to establish ownership of a small scale project. Student is encouraged to actively participate in scientific discussions.,Background in any science or engineering field and open to learning,"This job is multidisciplinary and the student should expect to learn many various things from different fields of science, including biochemistry, optical engineering, coding, and data analysis. For example, the student will be taught how to prepare the biological samples which include embedding the samples into hydrogels and turning them optically transparent. The student will also be taught how to operate an advanced imaging system to perform the experiments. The student will also learn how to analyse the image data and gain some familiarity with data analysis.",GIS,Spatial and single cell systems,Chen Kok Hao,6587994928,chenkh@gis.a-star.edu.sg,"Genome Institute of Singapore, 60 Biopolis Street Level 5, Genome Building, Singapore 138672",Engineering & Technology,Bioengineering ;Biomedical Engineering;Chemical & Molecular Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhancing Vision-based RL using KD in NVIDIA Isaac Gym,"The use of multi-camera views simultaneously has been shown to improve the generalization capabilities and performance of visual policies. However, the hardware cost and design constraints in real-world scenarios can potentially make it challenging to use multiple cameras. In this study, we propose to implement and evaluate a novel approach to enhance the generalization performance of vision-based Reinforcement Learning (RL) algorithms for robotic manipulation tasks using NVIDIA Isaac Gym.
Our proposed method involves utilizing knowledge distillation.","Gain a deep understanding of vision-based Reinforcement Learning (RL) algorithms and their applications in robotic manipulation tasks.
    Develop proficiency in implementing RL algorithms using NVIDIA Isaac Gym and utilizing its simulation capabilities.
    Gain expertise in designing and training multi-camera policies in simulation environments using NVIDIA Isaac Gym.
    Develop problem-solving skills through troubleshooting and debugging RL algorithms in the context of NVIDIA Isaac Gym.
    Foster the ability to document and communicate research findings effectively, including presenting project outcomes and insights.","Conduct thorough research on vision-based RL algorithms, knowledge distillation techniques, and their applications in robotic manipulation tasks.
Gain a deep understanding of NVIDIA Isaac Gym and its capabilities for simulation-based RL experiments.
Modify the existing implementation to integrate NVIDIA Isaac Gym.
Fine-tune and train the student policy using NVIDIA Isaac Gym, ensuring proper configuration and parameter tuning.
Utilize NVIDIA Isaac Gym to perform simulated experiments, measuring success rates, grasp accuracy, and other relevant metrics.","Experience with Reinforcement Learning (RL),  Machine Learning, and Deep Learning
Proficiency in at least one programming language commonly used in machine learning and AI, such as Python.
Background in Robotics (Optional)
Ability to analyze complex problems, break them down into manageable components, and devise effective solutions.
Strong critical thinking and logical reasoning skills to evaluate different approaches and make informed decisions","The selected student will actively contribute to a project focused on enhancing the generalization capabilities of vision-based Reinforcement Learning (RL) algorithms using knowledge distillation in NVIDIA Isaac Gym. This is an exciting opportunity to gain hands-on experience in cutting-edge research and develop expertise in RL,  robotic manipulation,  computer vision, and NVIDIA Isaac Gym.  We offer a stimulating and supportive research environment, opportunities for skill development, and the chance to contribute to cutting-edge research. If you are passionate about RL, computer vision, and robotics and are eager to make a meaningful impact in this domain, we encourage you to apply.",I2R,Robotics & Autonomous Sysem (RAS),ACAR Cihan,6583426107,acar_cihan@i2r.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explainable multimodal reasoning for ScienceQA,"When answering a question, humans utilize the information available across different modalities to synthesize a consistent and complete chain of thought. This process is normally a black box in the case of deep learning models like large-scale language models. Recently, science question benchmarks used to diagnose the reasoning ability and interpretability of an AI system. However, existing datasets fail to provide explanations for the answers. The objective of the project is to design language models to learn to generate lectures and explanations when answering science domain questions.","'- Good understanding in AI & Deep Learning
- Will acquire good programming skillsin Python
- Able to build machine learning models","'-  Research and survey state-of-the-art deep learning models
-  Implement state-of-the-art research outcomes in data science, machine learning, artificial intelligence
-  Adapt existing multi-modal models for training the science domain dataset and validate the model for its performance
-   Evaluate the question answering for its accuracy and its reasoning capabilities","Python, Machine Learning","'-  The purpose of the project is to understand the reasoning ability and interpretability of an AI system and to design language models to learn to generate explanations from the science domain lectures
-   Understanding the science domain dataset with question as either in an image context, text context or both. 
-  Approaches for multimodal reasoning:
o    Fine-tune existing Visual Question Answering(VQA) baselines which takes question, the context, and choices as the textual input, take the image as the visual input, and predict the score distribution over choice candidates via a linear classifier",I2R,I2R/MI,Saravanan Rajamanickam,6582508474,saravananr@i2r.a-star.edu.sg,"1 Fusionopolis Way, #20-10 Connexis North Tower Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploration study of realistic 3D deep learning,"This project aims to explore essential research works to build 3D deep learning capabilities, to tackle key technical challenges occurred in the current 3D deep learning, therefore make 3D deep learning more realistic for real-world applications. We will focus on two research topics: label-efficient 3D and heterogenous 3D. The first is to build 3D deep learning models with limited labelled data but maintain the satisfiable performance. The second is for fine-grained representation learning across various modalities of heterogeneous & multi-view 3D data to boost the performance of 3D model.","Corresponding to the work scopes / description:
Outcome-1: Technique report summarizing the related techniques from simple survey (refer to scope-1)
Outcome-2: Experimental reports and demos from the results reproducing (refer to scope-2)
Outcome-3: A short report for the description of the potential technical problem and algorithm improvement, as well as the improved experimental results if applicable (refer to scope-3) 
Outcome-4: Final technical report and presentation slides (refer to scope-4)","1) Self-motivated to finish the work scope in time
2) Team work with other members in the team 
3) Bi-weekly meeting to update the progress
4) Strictly follow the rule and policy of A*STAR","Keen to do advanced research works,
Familiar with deep learning and computer vision, 
A bit programming skill in Python,
Self-motivated and willing to learn attitude.","The student is expected to do:
Scope-1: Simple Survey 
Literature review of the related techniques, and select 1-2 papers (methods) which the student prefer to reproduce the results. 
Scope-2: Reproduce Results in Papers 
Re-produce the results presented in the selected academic papers by using the benchmark dataset 
Scope-3: Algorithm Improvement 
Explore potential enhancement to existing methods, and try to improve the results as compared to the baseline results in scope-2. 
Scope-4: Final Report & Presentation 
Technical report and oral presentation to summarize the internship. We may extend the technical report to a journal or conference paper assume the improvement is significant.",I2R,Machine Intellection,Yang Xulei,+6597330869,yang_xulei@i2r.a-star.edu.sg,"1 Fusionopolis Way, South Tower, Connexis, Singapore 138632",Computing & Information Sciences,"Algorithms and Theory, Artificial Intelligence, Computing Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature Engineering for AI in Materials Design,"Materials informatics applies data science and AI methods to accelerate the development of new materials, such as lightweight alloys for aerospace applications and alloy nanoparticles for catalysis. AI in materials is an emerging technology that has generated strong momentum from startups and large corporations.
The student will work with computational materials scientists to develop machine learning (ML) models to predict the properties of materials, with atomic arrangements and appropriate material descriptors as inputs. The student will build upon prior work done here on alloy design.","The student will learn about the application of machine-learning to design of alloy materials. This will include the development of (i) physically-meaningful features (feature engineering), (ii) selection and training of appropriate ML model and (iii) using the ML model to design/discover new alloy material compositions/formulations with improved properties.",The student will help with code development for machine-learning needed for materials informatics.,Interests in programming in Python and familiarity with AI/ML libraries in Python.,"The student will help with code development for machine-learning needed for materials informatics. This will include formulation and curation of physicochemical descriptors, feature selection, correlation analysis and training of the machine-learned model. The material of application will include (high entropy) alloys and composites.",IHPC,Materials Science and Chemistry,Tan Teck Leong,6585335670,tantl@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16 Connexis North, Singapore 138632",Physical Sciences,Chemistry;Natural sciences;Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated Learning for Healthcare,Developing a federated learning system for protecting personal information in healthcare applications.,"1. Learning how to prepare and do within a research project.
2. Learning the background of medical image analysis and advanced deep learning techniques.
3. Writing one academic paper of the project.","1. Developing the deep learning algorithm.
2. Writing a research report.","1. Have a strong interest in medical machine learning.
2. Strong programming skills and experience in the use of deep learning frameworks, e.g., PyTorch.","1. Implementing the federated learning and privacy deep learning algorithms.
2. Evaluating the performances of baselines on medical image analysis tasks.
",IHPC,Computing & Intelligence,Huazhu FU,6582877976,fu_huazhu@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16 Connexis (North Tower), Singapore 138632",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated learning for voyage pattern mining,To address the sensitive data access challenge to realize traffic pattern mining through federated learning without touching sensitive data.,"1. Understand the working mechanism of federated learning
2. Learn the federated learning for traffic pattern mining","1. Design workflow of federated learning based solution
1. Implement federated learning based algorithm for traffic pattern mining",,,IHPC,Systems Science,Xiao Zhe,+6596480645,xiaoz@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Computing & Information Sciences,"Computer Science & Engineering, Electrical & Electronic Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Few Shot Learning using Brain Inspired Algorithms,"Brain inspired learning algorithms like Direct Feedback Alignment and Hebbian learning have been shown to learn very fast. They can learn the same tasks in far lesser epochs compared to traditional Backprop. This efficiency in learning is crucial in many applications like Few-Shot learning and learning in resource constrained environments. In this project we will study the capabilities for brain inspired learning algorithms for few shot learning in more depth. Specifically, we will carry out experiments on CUBS and Mini-ImageNet datasets to benchmark performance of brain algos vs. SOTA methods","1. The student will learn about deep learning and training neural networks in depth
2. The student will also learn about the areas of few shot learning and brain inspired algorithms and develop an appreciation for how wide the area of Deep learning is
3. The student will develop solid coding skills, familiarity with ML frameworks like PyTorch and ability to independently run and deploy code on GPU servers
4. The student will also understand in depth about the process of doing research - hypothesis formulation, conducting experiments, verify findings and writing a research paper
5. The student will learn valuable and marketable skills for future jobs or research attachments",Please see the job description section.,"1. Student should be motivated and very interested to learn about Deep Learning and Neural networks in depth
2. Student should have some experience with implementing and training neural networks using Python","Main responsibilities of the student will be-
1. Read relevant research papers to understand the areas of Few Shot learning and Brain inspired learning
2. Build on publicly available and internal I2R codebases to implement few shot learning for FA, DFA and Instar Hebbian learning
3. Tabulate results from experiments and present findings in weekly meetings
4. Help in putting the results together and writing a research paper to be submitted to a Machine Learning conference",I2R,MI,Manas Gupta,+6598482123,manas_gupta@i2r.a-star.edu.sg,"Connexis North, 1 Fusionopolis Way, S138632",Computing & Information Sciences,"Artificial Intelligence ,Computer Engineering, Electrical & Electronic Engineering, Electrical Engineering, Engineering Science, Industrial & Systems Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
